epoch,top1err,loss
1,0.922561950981617,5.38379859924316
2,0.746377885341644,3.70928263664246
3,0.65105414390564,3.08221507072449
4,0.604616314172745,2.79523539543152
5,0.571555256843567,2.61811852455139
6,0.552326887845993,2.50797533988953
7,0.538975059986115,2.42749953269958
8,0.530981451272965,2.38791537284851
9,0.52155151963234,2.33375930786133
10,0.515899777412414,2.30548405647278
11,0.507362872362137,2.25964307785034
12,0.504939794540405,2.25078558921814
13,0.50074315071106,2.22154259681702
14,0.498382568359375,2.21196055412292
15,0.497970402240753,2.2091851234436
16,0.494192123413086,2.1964111328125
17,0.492480993270874,2.18242597579956
18,0.490413904190064,2.1685779094696
19,0.488028347492218,2.1591203212738
20,0.48886513710022,2.15573716163635
21,0.485855042934418,2.14193439483643
22,0.48676061630249,2.14898133277893
23,0.482676386833191,2.12582588195801
24,0.482070565223694,2.12947678565979
25,0.483538150787354,2.12619614601135
26,0.479922294616699,2.11134266853333
27,0.480709195137024,2.11463069915771
28,0.478479743003845,2.10560369491577
29,0.479628801345825,2.1089186668396
30,0.476568758487701,2.09392356872559
31,0.365488886833191,1.55974185466766
32,0.340646207332611,1.42929220199585
33,0.32910543680191,1.37322998046875
34,0.322273433208466,1.33985280990601
35,0.317933142185211,1.32387816905975
36,0.316940188407898,1.31971168518066
37,0.314623296260834,1.30583500862122
38,0.313305616378784,1.29749143123627
39,0.311382174491882,1.29437160491943
40,0.313205659389496,1.29225587844849
41,0.312200248241425,1.28901743888855
42,0.312225222587585,1.29029440879822
43,0.311725616455078,1.28735542297363
44,0.311407148838043,1.2891594171524
45,0.311569511890411,1.28181982040405
46,0.312574923038483,1.29171502590179
47,0.311219751834869,1.28302490711212
48,0.311213552951813,1.28274118900299
49,0.309508621692657,1.27736067771912
50,0.312243938446045,1.28481268882751
51,0.309558629989624,1.27515709400177
52,0.311513304710388,1.28102016448975
53,0.308315873146057,1.26897311210632
54,0.308865427970886,1.27314972877502
55,0.306929469108582,1.26093947887421
56,0.309096455574036,1.26942610740662
57,0.30709183216095,1.264319896698
58,0.30657970905304,1.25758695602417
59,0.305699169635773,1.2581387758255
60,0.306329965591431,1.25349736213684
61,0.258293390274048,1.05216634273529
62,0.242805778980255,0.984909236431122
63,0.236835539340973,0.95592451095581
64,0.23363184928894,0.939612567424774
65,0.230971455574036,0.93002587556839
66,0.228429734706879,0.919573783874512
67,0.227386832237244,0.911315977573395
68,0.223833441734314,0.900900781154633
69,0.223927080631256,0.897546410560608
70,0.219205915927887,0.880225419998169
71,0.219680488109589,0.874903202056885
72,0.219774186611176,0.879008531570435
73,0.216208279132843,0.86854499578476
74,0.21692019701004,0.867694318294525
75,0.212636113166809,0.855513274669647
76,0.214828133583069,0.857553601264954
77,0.211524546146393,0.841602027416229
78,0.211499571800232,0.845629453659058
79,0.20848947763443,0.829599499702454
80,0.20744651556015,0.825945973396301
81,0.208595633506775,0.832303285598755
82,0.205991446971893,0.818078100681305
83,0.208139717578888,0.829362511634827
84,0.204236626625061,0.818090379238129
85,0.203905642032623,0.813624799251556
86,0.204267859458923,0.817524492740631
87,0.201282739639282,0.800800621509552
88,0.200795590877533,0.798003911972046
89,0.202587902545929,0.808203518390656
90,0.200271010398865,0.801170706748962
